Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
World Cup,20k,Men,Naumburg,GERMANY,2,5,2004,13:00:00,51.1525648,11.8099186,10555099999,GM; WEIMAR,39.2,12.0,11.0,5.7,2.3,93.6,9,,2,0,11.7,15.9,11.3,01:17:21,01:18:49,01:18:42,01:19:02,01:19:11,01:19:58,01:20:06,01:20:06,01:20:14,01:20:29,01:20:35,01:20:41,01:18:58
World Cup,20k,Women,Naumburg,GERMANY,1,5,2004,10:00:00,51.1525648,11.8099186,10555099999,GM; WEIMAR,39.2,19.0,10.0,5.1,2.1,55.9,2,,2,451,18.4,19.5,17.3,01:26:22,01:27:32,01:27:24,01:27:34,01:27:36,01:27:44,01:27:49,01:27:51,01:27:53,01:28:01,01:28:17,01:29:12,01:27:31
World Championships,20k,Men,Helsinki ,FINLAND,6,8,2005,18:40:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,17.2,15.9,7.0,2.9,92.1,8,40,3,71,17.4,20.8,16.7,01:17:21,01:17:21,01:18:35,01:19:36,01:19:44,01:20:00,01:20:19,01:20:25,01:20:34,01:20:45,01:21:01,01:21:43,01:19:18
World Championships,20k,Women,Helsinki ,FINLAND,7,8,2005,11:35:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,18.2,16.0,4.0,1.7,87.0,8,25,3,161,18.3,21.4,17.8,01:26:22,01:26:52,01:25:41,01:27:05,01:28:44,01:28:51,01:29:05,01:29:21,01:29:52,01:30:07,01:30:32,01:30:34,01:27:10
World Cup,20k,Men,La Coruna,Spain,13,5,2006,18:30:00,43.3712091,-8.3958768,8001099999,SP; LA CORUNA,1.8,16.4,11.8,3.1,1.3,74.2,6,30,2,0,16,18.7,14.1,01:17:21,01:18:42,01:18:31,01:19:08,01:19:10,01:19:36,01:19:37,01:20:10,01:20:18,01:20:33,01:20:34,01:20:52,01:18:56
World Cup,20k,Women,La Coruna,Spain,13,5,2006,16:30:00,43.3712091,-8.3958768,8001099999,SP; LA CORUNA,1.8,16.8,11.6,8.2,3.4,71.4,5,90,2,0,16.4,18.8,14.4,01:25:41,01:27:24,01:26:27,01:27:26,01:27:46,01:28:52,01:28:59,01:28:59,01:29:05,01:29:06,01:29:08,01:29:37,01:27:13
Common Wealth,20k,Men,Melbourne, Australia,20,3,2006,8:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,20.5,11.3,1.5,0.6,55.6,3,60,10,632,20.1,20.8,21.6,01:17:21,01:24:59,01:19:55,01:21:38,01:23:32,01:25:42,01:30:43,01:31:17,01:32:21,01:32:54,,,01:21:42
Common Wealth,20k,Women,Melbourne, Australia,20,3,2006,8:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,20.5,11.3,1.5,0.6,55.6,3,60,10,632,20.1,20.8,21.6,01:25:41,01:36:34,01:32:46,01:33:33,01:36:03,01:38:19,01:40:54,01:41:54,01:42:04,01:47:35,,,01:34:07
World Championships,20k,Men,Osaka,JAPAN,26,8,2007,8:00:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,33.8,20.2,3.1,1.3,45.1,1,0,9,802,36.5,32.4,31.2,01:17:21,01:17:21,01:22:20,01:22:40,01:22:40,01:23:36,01:23:39,01:23:42,01:23:52,01:24:10,01:24:35,01:24:39,01:22:33
World Championships,20k,Women,Osaka,JAPAN,31,8,2007,8:00:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,28.5,20.5,3.6,1.5,62.0,4,0,9,731,30.5,29.6,28.2,01:25:41,01:25:41,01:30:09,01:30:42,01:30:47,01:31:24,01:32:01,01:32:47,01:33:06,01:33:23,01:33:29,01:33:35,01:30:33
Olympic,20k,Men,Beijing,China,16,8,2008,9:00:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,28.5,10.2,2.0,0.8,32.0,0,5,8,609,27.6,25,24.7,01:17:16,01:19:40,01:19:01,01:19:15,01:19:42,01:19:47,01:19:51,01:19:57,01:20:32,01:20:36,01:20:59,01:21:17,01:19:19
Olympic,20k,Women,Beijing,China,21,8,2008,9:00:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,21.4,18.4,2.0,0.8,83.1,7,0,8,421,21.8,24.4,22.7,01:25:41,01:29:05,01:26:31,01:27:07,01:27:12,01:27:17,01:27:25,01:27:44,01:27:45,01:27:46,01:28:14,01:28:26,01:26:57
